排名,影院名称,票房,场次,省份,人次,城市,票价
245,SFC上影影城（昆明南悦城店）,16461.0,34,云南省,416,昆明市,40
246,广州萝岗万达广场店,16448.81,54,广东省,374,广州市,44
247,齐齐哈尔万达广场店,16407.01,45,黑龙江,521,齐齐哈尔市,31
248,徐州铜山万达广场店,16340.07,59,江苏省,533,徐州市,31
249,天津沃美影城（鲁能城购物中心店）,16339.53,47,天津市,339,天津市,48
250,太原铜锣湾国际影城,16337.8,96,山西省,653,太原市,25
251,CGV影城 青岛万象城店,16323.72,39,山东省,278,青岛市,59
252,南京大华电影院,16314.41,68,江苏省,489,南京市,33
253,广州市美亚影城,16312.18,41,广东省,315,广州市,52
254,大同万达影城凯德广场店,16122.05,40,山西省,552,大同市,29
255,UME影城（杭州紫荆天街店）,16103.01,50,浙江省,379,杭州市,42
256,春天国际影城(福州大学城店),16089.6,31,福建省,572,福州市,28
257,徐州苏宁影城彭城广场店,16058.07,47,江苏省,451,徐州市,36
258,中影国际影城南京仙林金鹰店,16012.02,32,江苏省,449,南京市,36
259,南京万达影城新街口悦荟广场店,15999.7,44,江苏省,574,南京市,28
260,UME影城（西安长安店）,15998.77,37,陕西省,503,西安市,32
261,上海宝山万达广场店,15995.03,33,上海市,311,上海市,51
262,幸福蓝海国际影城南京IMAX激光环宇城店,15960.24,36,江苏省,407,南京市,39
263,SFC上影影城（天山缤谷广场店）,15952.51,53,上海市,248,上海市,64
264,阜阳颍州万达广场店,15918.79,68,安徽省,570,阜阳市,28
265,上海市百丽宫影城博荟广场店,15885.99,37,上海市,203,上海市,78
266,金逸影城北京双桥店,15873.77,42,北京市,399,北京市,40
267,无锡电影大世界,15872.65,51,江苏省,404,无锡市,39
268,郑州中原万达广场店,15836.08,58,河南省,479,郑州市,33
269,厦门集美万达广场店,15833.22,52,福建省,463,厦门市,34
270,北京博纳国际影城（方庄店）,15819.99,64,北京市,360,北京市,44
271,商丘睢阳万达广场店,15773.77,55,河南省,497,商丘市,32
272,南宁永恒·晶钻IMAX影城,15759.88,48,广西,475,南宁市,33
273,英皇电影城-深圳平安金融中心店,15758.52,41,广东省,249,深圳市,63
274,华谊兄弟影院（武汉光谷店）,15652.98,40,湖北省,616,武汉市,25
275,杭州传奇奢华影城,15549.5,34,浙江省,320,杭州市,49
276,英皇电影城-成都新光天地店,15543.4,53,四川省,351,成都市,44
277,橙天嘉禾影城上海世纪汇店,15534.32,22,上海市,356,上海市,44
278,重庆巴南万达广场店,15504.32,48,重庆市,487,重庆市,32
279,南宁市中影环球国际影城,15471.76,85,广西,515,南宁市,30
280,橙天嘉禾影城上海LuOne凯德晶萃店,15450.44,38,上海市,283,上海市,55
281,合肥天鹅湖万达广场店,15438.78,50,安徽省,449,合肥市,34
282,中都影城广州时光里店,15436.21,74,广东省,422,广州市,37
283,漳州万达广场店,15434.31,51,福建省,413,漳州市,37
284,许昌市胖东来影城天使城店,15427.51,36,河南省,542,许昌市,28
285,天津塘沽万达广场店,15395.1,68,天津市,416,天津市,37
286,卢米埃南京弘阳广场影城,15391.13,36,江苏省,401,南京市,38
287,上海市UA梅龙镇广场电影城,15378.7,43,上海市,224,上海市,69
288,CGV影城 深圳红山6979店,15376.46,45,广东省,253,深圳市,61
289,西宁市保利万和丽影荟影城,15359.9,48,青海省,485,西宁市,32
290,南京建邺万达广场店,15333.48,54,江苏省,406,南京市,38
291,唐山路南万达广场店,15306.78,46,河北省,444,唐山市,34
292,遂宁万达广场店,15299.41,48,四川省,451,遂宁市,34
293,广州市德金影院,15276.46,68,广东省,471,广州市,32
294,海口万达影城海航日月广场店,15254.33,58,海南省,407,海口市,37
295,海口星轶影城（吾悦广场IMAX店）,15134.1,38,海南省,443,海口市,34
296,长沙横店潇湘王府井影城,15104.91,60,湖南省,607,长沙市,25
297,深圳万达影城海雅广场店,15057.06,31,广东省,389,深圳市,39
298,CGV影城 赣州万象城店,14993.93,44,江西省,344,赣州市,44
299,星轶STARX影城（上海奉贤龙湖天街店）,14976.29,35,上海市,385,上海市,39
300,上海寰映影城久光中心店,14975.0,35,上海市,318,上海市,47
301,CGV影城 成都高新店,14951.87,38,四川省,307,成都市,49
302,太仓万达广场店,14924.48,60,江苏省,310,苏州市,48
303,幸福蓝海国际影城江宁金鹰店,14914.35,45,江苏省,419,南京市,36
304,卢米埃南京金鹰仙林影城,14913.75,29,江苏省,400,南京市,37
305,北京珠影耳东传奇影城,14907.01,39,北京市,236,北京市,63
306,乌鲁木齐奥斯卡影城友好二店,14896.69,32,新疆,416,乌鲁木齐市,36
307,泰安万达广场店,14895.62,55,山东省,462,泰安市,32
308,北京延庆万达广场店,14863.96,40,北京市,363,北京市,41
309,上海百丽宫影城LCM置汇旭辉广场店,14802.03,44,上海市,216,上海市,69
310,卢米埃成都西宸天街影城,14797.29,39,四川省,386,成都市,38
311,嘉兴星轶影城（桐乡吾悦广场IMAX店）,14795.52,41,浙江省,393,嘉兴市,38
312,北京百老汇影城apm店,14753.02,38,北京市,301,北京市,49
313,杭州拱墅万达广场店,14750.41,45,浙江省,392,杭州市,38
314,幸福蓝海国际影城成都仁和新城IMAX店,14743.62,53,四川省,390,成都市,38
315,西宁海湖万达广场店,14737.34,56,青海省,361,西宁市,41
316,星轶影城（重庆北碚吾悦广场店）,14708.09,30,重庆市,398,重庆市,37
317,SFC上影影城（百联又一城店）,14702.0,32,上海市,398,上海市,37
318,常州新北万达广场店,14693.4,51,江苏省,444,常州市,33
319,惠州万达影城新天地广场店,14691.57,25,广东省,441,惠州市,33
320,益阳万达广场店,14688.5,49,湖南省,413,益阳市,36
321,德州万达广场店,14664.8,57,山东省,503,德州市,29
322,UME影城（河北邯郸店）,14639.98,61,河北省,536,邯郸市,27
323,深圳市星河寰宇影城（福田COCO Park店）,14638.2,32,广东省,352,深圳市,42
324,CGV影城 珠海环宇城IMAX激光店,14605.14,35,广东省,277,珠海市,53
325,义乌万达广场店,14583.24,41,浙江省,311,金华市,47
326,南宁沃美影城,14560.96,57,广西,312,南宁市,47
327,CGV影城 杭州乐堤港店,14534.14,41,浙江省,249,杭州市,58
328,南京仙林万达茂店,14528.85,45,江苏省,439,南京市,33
329,上海大光明影院,14524.98,33,上海市,264,上海市,55
330,合肥市星爵影城,14515.47,37,安徽省,443,合肥市,33
331,信阳市信合影城,14512.05,55,河南省,340,信阳市,43
332,济南万达影城魏家庄悦荟广场店,14510.58,43,山东省,398,济南市,36
333,北京市华联影院万柳店,14498.07,39,北京市,297,北京市,49
334,长沙万达影城悦荟广场店,14485.5,33,湖南省,396,长沙市,37
335,茂名电白万达广场店,14474.3,48,广东省,471,茂名市,31
336,武汉市维佳影城佰港城LUXE店,14463.04,55,湖北省,359,武汉市,40
337,大地影院北海宁春城IMAX影院,14463.01,64,广西,454,北海市,32
338,海宁传奇奢华影城,14453.03,32,浙江省,353,嘉兴市,41
339,连云港万达广场店,14450.93,79,江苏省,362,连云港市,40
340,六安万达广场店,14422.53,51,安徽省,487,六安市,30
341,武商仙桃国际电影城,14395.0,40,湖北省,567,湖北省直辖县级市,25
342,中影国际影城杭州西溪印象城店,14394.47,40,浙江省,369,杭州市,39
343,吉林万达影城财富广场店,14392.79,42,吉林省,565,吉林市,25
344,上饶星轶影城,14351.6,34,江西省,439,上饶市,33
